calibrate_2_20200202164759451.pbf,dail5_1_20191007135105.pbf,7,0.000618404,1
calibrate_2_20200202164849976.pbf,mullico_1_20191128172055.pbf,8,0.000638071,1
calibrate_2_20200202165810590.pbf,liu433_1_20190916183518.pbf,1,0.000194294,1
calibrate_2_20200202165824437.pbf,liu433_1_20190916183518.pbf,1,0.000215416,1
calibrate_2_20200202165843163.pbf,liu433_1_20190916183518.pbf,1,0.000178569,1
calibrate_2_20200202165916805.pbf,liu433_1_20190916183518.pbf,1,0.000131013,1
calibrate_2_20200202165944913.pbf,liu433_1_20190916183518.pbf,1,9.15E-05,1
calibrate_2_20200202170023312.pbf,liu433_1_20190916183518.pbf,1,0.000106516,1
calibrate_2_20200202170310850.pbf,lanea4_1_20200122113345.pbf,3,0.000143559,0
calibrate_2_20200202170326014.pbf,lanea4_1_20200122113345.pbf,3,0.000128332,0
calibrate_2_20200202170435370.pbf,sunx46_1_20191124152811.pbf,1,1.09E-05,1
calibrate_2_20200202170453839.pbf,sunx46_1_20191124152811.pbf,1,8.02E-06,1
calibrate_2_20200202170524248.pbf,sunx46_1_20191124152811.pbf,3,6.08E-06,1
calibrate_2_20200202170549955.pbf,sunx46_1_20191124152811.pbf,4,4.44E-06,1
calibrate_2_20200202170612003.pbf,baigm21_1_20191023204718.pbf,3,8.82E-06,1
calibrate_2_20200202170635855.pbf,sunx46_1_20191124152811.pbf,5,6.19E-06,0
calibrate_2_20200202170652275.pbf,sunx46_1_20191124152811.pbf,5,2.24E-05,0
calibrate_2_20200202170743223.pbf,dail5_1_20191007135105.pbf,7,3.29E-05,1
calibrate_2_20200202170801281.pbf,dail5_1_20191007135105.pbf,7,1.78E-05,1
calibrate_2_20200202170834925.pbf,dail5_1_20191007135105.pbf,7,4.53E-06,1
calibrate_2_20200202170908319.pbf,dail5_1_20191007135105.pbf,2,3.56E-06,1
calibrate_2_20200202170929013.pbf,dail5_1_20191007135105.pbf,5,3.47E-06,1
calibrate_2_20200202170952932.pbf,dail5_1_20191007135105.pbf,6,1.80E-05,1
calibrate_2_20200202171422101.pbf,halle12_1_20200108104147.pbf,4,5.50E-06,0
calibrate_2_20200202171444094.pbf,jinz27_1_20191005175430.pbf,1,8.10E-06,1
calibrate_2_20200202171517778.pbf,sunx46_1_20191124152638.pbf,5,7.22E-06,1
calibrate_2_20200202171536881.pbf,sunx46_1_20191124152638.pbf,4,1.30E-05,1
calibrate_2_20200202171602097.pbf,sunx46_1_20191124152638.pbf,2,6.36E-06,1
calibrate_2_20200202171618915.pbf,sunx46_1_20191124152638.pbf,1,1.56E-05,1
calibrate_2_20200202171737162.pbf,sunx46_1_20191124152638.pbf,3,0.000367486,1
calibrate_2_20200202171937327.pbf,tanudjae_1_20191004164050.pbf,1,2.18E-06,0
calibrate_2_20200202171959200.pbf,tanudjae_1_20191004164050.pbf,3,3.86E-06,0
calibrate_2_20200202172021059.pbf,tanudjae_1_20191004164050.pbf,4,8.59E-06,0
calibrate_2_20200202172037958.pbf,tanudjae_1_20191004164050.pbf,4,1.31E-05,0
calibrate_2_20200202172121727.pbf,tanudjae_1_20191004164050.pbf,5,7.01E-05,0
calibrate_2_20200202172151433.pbf,tanudjae_1_20191004164050.pbf,5,9.37E-06,0
